probe_id,log2FC,p_adj,kategori,gene_symbol,gene_title
224539_s_at,0.5508,1.4419678486327477e-05,Artan,PCDHAC2,"protocadherin alpha subfamily C, 2"
224356_x_at,-0.8059,1.4385638246348928e-05,Azalan,MS4A6A,"membrane-spanning 4-domains, subfamily A, member 6A"
231053_at,0.6509,1.4532040169321309e-05,Artan,KCNB1,"potassium voltage-gated channel, Shab-related subfamily, member 1"
1560225_at,0.6231,1.464748526044433e-05,Artan,CNR1,cannabinoid receptor 1 (brain)
206171_at,-0.8443,1.5638586061073743e-05,Azalan,ADORA3,adenosine A3 receptor
1559970_at,0.5841,1.601459872693029e-05,Artan,LOC100506731,uncharacterized LOC100506731
204507_s_at,0.5011,1.6031389831739076e-05,Artan,PPP3R1,"protein phosphatase 3, regulatory subunit B, alpha"
202546_at,-0.5574,1.6336835623649137e-05,Azalan,VAMP8,vesicle-associated membrane protein 8
222124_at,-0.5456,1.662799074795851e-05,Azalan,HIF3A,"hypoxia inducible factor 3, alpha subunit"
211599_x_at,0.7345,1.6588972860912632e-05,Artan,MET,"MET proto-oncogene, receptor tyrosine kinase"
223280_x_at,-0.7936,1.7527752825989458e-05,Azalan,MS4A6A,"membrane-spanning 4-domains, subfamily A, member 6A"
216218_s_at,0.5967,1.7836492379548212e-05,Artan,PLCL2,phospholipase C-like 2
230217_at,0.5328,1.7879489528527563e-05,Artan,CLVS1,clavesin 1
223343_at,-0.6467,1.8101560526093394e-05,Azalan,MS4A7,"membrane-spanning 4-domains, subfamily A, member 7"
201721_s_at,-0.5224,1.815433596473436e-05,Azalan,LAPTM5,lysosomal protein transmembrane 5
212960_at,0.6672,1.8677051809110463e-05,Artan,TBC1D9,"TBC1 domain family, member 9 (with GRAM domain)"
211067_s_at,0.5283,1.8865616303065463e-05,Artan,GAS7,growth arrest-specific 7
234989_at,-0.5526,1.910622005673524e-05,Azalan,MIR612 /// NEAT1,microRNA 612 /// nuclear paraspeckle assembly transcript 1 (non-protein coding)
207826_s_at,-0.5941,2.1616419501215088e-05,Azalan,ID3,"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein"
200641_s_at,0.524,2.1853579595596244e-05,Artan,YWHAZ,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta"
210349_at,0.5491,2.3774256381562464e-05,Artan,CAMK4,calcium/calmodulin-dependent protein kinase IV
1552798_a_at,-0.572,2.4259995612671783e-05,Azalan,TLR4,toll-like receptor 4
206865_at,0.5315,2.4670973031361094e-05,Artan,HRK,"harakiri, BCL2 interacting protein"
232806_s_at,0.5403,2.4878187695994124e-05,Artan,FAM131A,"family with sequence similarity 131, member A"
243452_at,0.5044,2.5341444683511927e-05,Artan,LOC646778,uncharacterized LOC646778
230967_s_at,0.586,2.5506041616618225e-05,Artan,USP7,ubiquitin specific peptidase 7 (herpes virus-associated)
211871_x_at,0.6327,2.6574723895273816e-05,Artan,GNB5,"guanine nucleotide binding protein (G protein), beta 5"
207732_s_at,0.6666,2.727747759807214e-05,Artan,DLG3,"discs, large homolog 3 (Drosophila)"
221210_s_at,-0.5016,2.832200797007867e-05,Azalan,NPL,N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
227824_at,0.8917,2.8409170949625344e-05,Artan,PRKCB,"protein kinase C, beta"
210518_at,0.5023,2.8431841238138065e-05,Artan,CDH8,"cadherin 8, type 2"
205901_at,0.8057,2.842378112460827e-05,Artan,PNOC,prepronociceptin
212729_at,0.5233,2.8444748918970934e-05,Artan,DLG3,"discs, large homolog 3 (Drosophila)"
232062_at,0.7259,2.835682361470315e-05,Artan,ADCY1,adenylate cyclase 1 (brain)
204338_s_at,0.9941,2.8822723840901632e-05,Artan,RGS4,regulator of G-protein signaling 4
205778_at,0.6429,2.9397373062240252e-05,Artan,KLK7,kallikrein-related peptidase 7
1554633_a_at,0.7558,3.0099861316288604e-05,Artan,MYT1L,myelin transcription factor 1-like
217930_s_at,0.5297,3.0185255447880987e-05,Artan,TOLLIP,toll interacting protein
207400_at,0.5537,3.04736784968014e-05,Artan,NPY5R,neuropeptide Y receptor Y5
207704_s_at,0.5573,3.0563248416205404e-05,Artan,GAS7,growth arrest-specific 7
